village,plot_number,category
village_Malatavadi,1130,Category B: Multiple possible alignments
village_Malatavadi,1131,Category B: Multiple possible alignments
village_Malatavadi,1132,Category B: Multiple possible alignments
village_Malatavadi,1133,Category B: Multiple possible alignments
village_Malatavadi,1134,Category B: Multiple possible alignments
village_Malatavadi,1135,Category B: Multiple possible alignments
village_Malatavadi,1136,Category B: Multiple possible alignments
village_Malatavadi,1137,Category F: Neighbor regularization moved plot incorrectly
village_Malatavadi,1138,Category B: Multiple possible alignments
village_Malatavadi,1139,Category B: Multiple possible alignments
village_Malatavadi,114,Category B: Multiple possible alignments
village_Malatavadi,1140,Category E: Global shift incorrect
village_Malatavadi,1141,Category J: Unknown
village_Malatavadi,1142,Category B: Multiple possible alignments
village_Malatavadi,1143,Category B: Multiple possible alignments
village_Malatavadi,1144,Category B: Multiple possible alignments
village_Malatavadi,1145,Category B: Multiple possible alignments
village_Malatavadi,1146,Category B: Multiple possible alignments
village_Malatavadi,1147,Category B: Multiple possible alignments
village_Malatavadi,1148,Category B: Multiple possible alignments
village_Malatavadi,1149,Category B: Multiple possible alignments
village_Malatavadi,115/A,Category B: Multiple possible alignments
village_Malatavadi,115/B,Category B: Multiple possible alignments
village_Malatavadi,1150,Category B: Multiple possible alignments
village_Malatavadi,1151,Category B: Multiple possible alignments
village_Malatavadi,1152,Category B: Multiple possible alignments
village_Malatavadi,1153,Category F: Neighbor regularization moved plot incorrectly
village_Malatavadi,1154,Category B: Multiple possible alignments
village_Malatavadi,1155,Category B: Multiple possible alignments
village_Malatavadi,1156,Category B: Multiple possible alignments
village_Malatavadi,1157,Category B: Multiple possible alignments
village_Malatavadi,1158/A,Category B: Multiple possible alignments
village_Malatavadi,1158/B,Category B: Multiple possible alignments
village_Malatavadi,1158/C,Category B: Multiple possible alignments
village_Malatavadi,1158/D,Category E: Global shift incorrect
village_Malatavadi,1159,Category B: Multiple possible alignments
village_Malatavadi,116/A,Category B: Multiple possible alignments
village_Malatavadi,116/B,Category B: Multiple possible alignments
village_Malatavadi,1160,Category B: Multiple possible alignments
village_Malatavadi,1161,Category B: Multiple possible alignments
village_Malatavadi,1162,Category B: Multiple possible alignments
village_Malatavadi,1163,Category B: Multiple possible alignments
village_Malatavadi,1164,Category B: Multiple possible alignments
village_Malatavadi,1165,Category B: Multiple possible alignments
village_Malatavadi,1166,Category B: Multiple possible alignments
village_Malatavadi,1167,Category B: Multiple possible alignments
village_Malatavadi,1168,Category B: Multiple possible alignments
village_Malatavadi,1169,Category B: Multiple possible alignments
village_Malatavadi,117,Category B: Multiple possible alignments
village_Malatavadi,1170,Category B: Multiple possible alignments
village_Malatavadi,1171,Category B: Multiple possible alignments
village_Malatavadi,1172,Category B: Multiple possible alignments
village_Malatavadi,1173,Category B: Multiple possible alignments
village_Malatavadi,1174,Category E: Global shift incorrect
village_Malatavadi,1175/A,Category D: Optimizer stuck in local optimum
village_Malatavadi,1175/B,Category E: Global shift incorrect
village_Malatavadi,1176,Category B: Multiple possible alignments
village_Malatavadi,1177,Category B: Multiple possible alignments
village_Malatavadi,1178,Category B: Multiple possible alignments
village_Malatavadi,1179,Category B: Multiple possible alignments
village_Malatavadi,118,Category B: Multiple possible alignments
village_Malatavadi,1180,Category B: Multiple possible alignments
village_Malatavadi,1181,Category G: Area mismatch
village_Malatavadi,1182/A,Category B: Multiple possible alignments
village_Malatavadi,1182/B,Category B: Multiple possible alignments
village_Malatavadi,1183,Category B: Multiple possible alignments
village_Malatavadi,1184,Category B: Multiple possible alignments
village_Malatavadi,1185,Category B: Multiple possible alignments
village_Malatavadi,1186,Category B: Multiple possible alignments
village_Malatavadi,1187,Category B: Multiple possible alignments
village_Malatavadi,1188,Category B: Multiple possible alignments
village_Malatavadi,1189,Category B: Multiple possible alignments
village_Malatavadi,119,Category B: Multiple possible alignments
village_Malatavadi,1190,Category B: Multiple possible alignments
village_Malatavadi,1191,Category B: Multiple possible alignments
village_Malatavadi,1192,Category B: Multiple possible alignments
village_Malatavadi,1193,Category B: Multiple possible alignments
village_Malatavadi,1194,Category B: Multiple possible alignments
village_Malatavadi,1195,Category E: Global shift incorrect
village_Malatavadi,1196,Category E: Global shift incorrect
village_Malatavadi,1197,Category B: Multiple possible alignments
village_Malatavadi,1198,Category G: Area mismatch
village_Malatavadi,1199,Category B: Multiple possible alignments
village_Malatavadi,12,Category B: Multiple possible alignments
village_Malatavadi,120,Category B: Multiple possible alignments
village_Malatavadi,1200,Category B: Multiple possible alignments
village_Malatavadi,1201,Category B: Multiple possible alignments
village_Malatavadi,1202,Category B: Multiple possible alignments
village_Malatavadi,1203,Category B: Multiple possible alignments
village_Malatavadi,1204/A,Category B: Multiple possible alignments
village_Malatavadi,1204/B,Category B: Multiple possible alignments
village_Malatavadi,1205,Category B: Multiple possible alignments
village_Malatavadi,1206/A,Category B: Multiple possible alignments
village_Malatavadi,1206/B,Category B: Multiple possible alignments
village_Malatavadi,1207,Category B: Multiple possible alignments
village_Malatavadi,1208,Category B: Multiple possible alignments
village_Malatavadi,1209,Category E: Global shift incorrect
village_Malatavadi,121,Category B: Multiple possible alignments
village_Malatavadi,1210,Category B: Multiple possible alignments
village_Malatavadi,1211,Category B: Multiple possible alignments
village_Malatavadi,1212,Category E: Global shift incorrect
village_Malatavadi,1213/A,Category B: Multiple possible alignments
village_Malatavadi,1213/B,Category E: Global shift incorrect
village_Malatavadi,1214,Category B: Multiple possible alignments
village_Malatavadi,1215,Category B: Multiple possible alignments
village_Malatavadi,1216,Category B: Multiple possible alignments
village_Malatavadi,1217,Category B: Multiple possible alignments
village_Malatavadi,1218,Category D: Optimizer stuck in local optimum
village_Malatavadi,1219,Category J: Unknown
village_Malatavadi,122,Category B: Multiple possible alignments
village_Malatavadi,1220,Category B: Multiple possible alignments
village_Malatavadi,1221,Category E: Global shift incorrect
village_Malatavadi,1222,Category F: Neighbor regularization moved plot incorrectly
village_Malatavadi,1223,Category E: Global shift incorrect
village_Malatavadi,1224,Category B: Multiple possible alignments
village_Malatavadi,1225,Category B: Multiple possible alignments
village_Malatavadi,1226,Category B: Multiple possible alignments
village_Malatavadi,1227/A,Category B: Multiple possible alignments
village_Malatavadi,1227/B,Category B: Multiple possible alignments
village_Malatavadi,1228,Category B: Multiple possible alignments
village_Malatavadi,1229/A,Category B: Multiple possible alignments
village_Malatavadi,1229/B,Category B: Multiple possible alignments
village_Malatavadi,123,Category B: Multiple possible alignments
village_Malatavadi,1230,Category B: Multiple possible alignments
village_Malatavadi,1231,Category B: Multiple possible alignments
village_Malatavadi,1232,Category B: Multiple possible alignments
village_Malatavadi,1233,Category B: Multiple possible alignments
village_Malatavadi,1234,Category E: Global shift incorrect
village_Malatavadi,1235/A,Category B: Multiple possible alignments
village_Malatavadi,1235/B,Category B: Multiple possible alignments
village_Malatavadi,1236,Category B: Multiple possible alignments
village_Malatavadi,1237,Category B: Multiple possible alignments
village_Malatavadi,1238/A,Category B: Multiple possible alignments
village_Malatavadi,1238/B,Category B: Multiple possible alignments
village_Malatavadi,1239,Category B: Multiple possible alignments
village_Malatavadi,124,Category B: Multiple possible alignments
village_Malatavadi,1240,Category B: Multiple possible alignments
village_Malatavadi,1241,Category B: Multiple possible alignments
village_Malatavadi,1242,Category B: Multiple possible alignments
village_Malatavadi,1243,Category B: Multiple possible alignments
village_Malatavadi,1244,Category B: Multiple possible alignments
village_Malatavadi,1245,Category B: Multiple possible alignments
village_Malatavadi,1246,Category B: Multiple possible alignments
village_Malatavadi,1247,Category B: Multiple possible alignments
village_Malatavadi,1248,Category B: Multiple possible alignments
village_Malatavadi,1249,Category B: Multiple possible alignments
village_Malatavadi,125,Category E: Global shift incorrect
village_Malatavadi,1250,Category B: Multiple possible alignments
village_Malatavadi,1251/A,Category B: Multiple possible alignments
village_Malatavadi,1251/B,Category B: Multiple possible alignments
village_Malatavadi,1252,Category B: Multiple possible alignments
village_Malatavadi,1253,Category B: Multiple possible alignments
village_Malatavadi,1254,Category B: Multiple possible alignments
village_Malatavadi,1255,Category B: Multiple possible alignments
village_Malatavadi,1256,Category B: Multiple possible alignments
village_Malatavadi,1257,Category B: Multiple possible alignments
village_Malatavadi,1258,Category D: Optimizer stuck in local optimum
village_Malatavadi,1259,Category B: Multiple possible alignments
village_Malatavadi,126,Category B: Multiple possible alignments
village_Malatavadi,1260,Category B: Multiple possible alignments
village_Malatavadi,1261,Category E: Global shift incorrect
village_Malatavadi,1262,Category B: Multiple possible alignments
village_Malatavadi,1263,Category B: Multiple possible alignments
village_Malatavadi,1264,Category B: Multiple possible alignments
village_Malatavadi,1265,Category E: Global shift incorrect
village_Malatavadi,1266,Category B: Multiple possible alignments
village_Malatavadi,1267,Category B: Multiple possible alignments
village_Malatavadi,1268,Category B: Multiple possible alignments
village_Malatavadi,1269,Category B: Multiple possible alignments
village_Malatavadi,127,Category E: Global shift incorrect
village_Malatavadi,1270,Category B: Multiple possible alignments
village_Malatavadi,1271,Category B: Multiple possible alignments
village_Malatavadi,1272,Category B: Multiple possible alignments
village_Malatavadi,1273,Category B: Multiple possible alignments
village_Malatavadi,1274,Category B: Multiple possible alignments
village_Malatavadi,1275,Category B: Multiple possible alignments
village_Malatavadi,1276,Category B: Multiple possible alignments
village_Malatavadi,1277,Category B: Multiple possible alignments
village_Malatavadi,1278,Category B: Multiple possible alignments
village_Malatavadi,1279,Category B: Multiple possible alignments
village_Malatavadi,128,Category B: Multiple possible alignments
village_Malatavadi,1280,Category B: Multiple possible alignments
village_Malatavadi,1281,Category F: Neighbor regularization moved plot incorrectly
village_Malatavadi,1282,Category B: Multiple possible alignments
village_Malatavadi,1283,Category B: Multiple possible alignments
village_Malatavadi,1284,Category B: Multiple possible alignments
village_Malatavadi,1285,Category B: Multiple possible alignments
village_Malatavadi,1286,Category B: Multiple possible alignments
village_Malatavadi,1287,Category B: Multiple possible alignments
village_Malatavadi,1288,Category B: Multiple possible alignments
village_Malatavadi,1289,Category B: Multiple possible alignments
village_Malatavadi,129,Category B: Multiple possible alignments
village_Malatavadi,1290,Category B: Multiple possible alignments
village_Malatavadi,1291,Category B: Multiple possible alignments
village_Malatavadi,1292,Category B: Multiple possible alignments
village_Malatavadi,1293,Category B: Multiple possible alignments
village_Malatavadi,1294,Category B: Multiple possible alignments
village_Malatavadi,1295,Category B: Multiple possible alignments
village_Malatavadi,1296,Category B: Multiple possible alignments
village_Malatavadi,1297,Category B: Multiple possible alignments
village_Malatavadi,1298,Category B: Multiple possible alignments
village_Malatavadi,1299,Category B: Multiple possible alignments
village_Malatavadi,13,Category B: Multiple possible alignments
village_Malatavadi,130,Category B: Multiple possible alignments
village_Malatavadi,1300,Category B: Multiple possible alignments
village_Malatavadi,1301,Category B: Multiple possible alignments
village_Malatavadi,1302,Category B: Multiple possible alignments
village_Malatavadi,1303,Category B: Multiple possible alignments
village_Malatavadi,1304,Category B: Multiple possible alignments
village_Malatavadi,1305,Category B: Multiple possible alignments
village_Malatavadi,1306,Category B: Multiple possible alignments
village_Malatavadi,1307,Category B: Multiple possible alignments
village_Malatavadi,1308,Category B: Multiple possible alignments
village_Malatavadi,1309,Category B: Multiple possible alignments
village_Malatavadi,131,Category B: Multiple possible alignments
village_Malatavadi,1310,Category B: Multiple possible alignments
village_Malatavadi,1311/A,Category B: Multiple possible alignments
village_Malatavadi,1311/B,Category B: Multiple possible alignments
village_Malatavadi,1312,Category B: Multiple possible alignments
village_Malatavadi,1313,Category B: Multiple possible alignments
village_Malatavadi,1314,Category B: Multiple possible alignments
village_Malatavadi,1315,Category B: Multiple possible alignments
village_Malatavadi,1316,Category B: Multiple possible alignments
village_Malatavadi,1317,Category B: Multiple possible alignments
village_Malatavadi,1318,Category B: Multiple possible alignments
village_Malatavadi,1319,Category B: Multiple possible alignments
village_Malatavadi,132,Category B: Multiple possible alignments
village_Malatavadi,1320,Category B: Multiple possible alignments
village_Malatavadi,1321,Category B: Multiple possible alignments
village_Malatavadi,1322,Category B: Multiple possible alignments
village_Malatavadi,1323,Category B: Multiple possible alignments
village_Malatavadi,1324,Category B: Multiple possible alignments
village_Malatavadi,1325/A,Category B: Multiple possible alignments
village_Malatavadi,1325/B,Category B: Multiple possible alignments
village_Malatavadi,1326,Category B: Multiple possible alignments
village_Malatavadi,1327,Category B: Multiple possible alignments
village_Malatavadi,1328,Category B: Multiple possible alignments
village_Malatavadi,1329,Category B: Multiple possible alignments
village_Malatavadi,133,Category B: Multiple possible alignments
village_Malatavadi,1330,Category B: Multiple possible alignments
village_Malatavadi,1331,Category B: Multiple possible alignments
village_Malatavadi,1332,Category B: Multiple possible alignments
village_Malatavadi,1333/1,Category B: Multiple possible alignments
village_Malatavadi,1333/2,Category B: Multiple possible alignments
village_Malatavadi,1334,Category B: Multiple possible alignments
village_Malatavadi,1335,Category B: Multiple possible alignments
village_Malatavadi,1336,Category B: Multiple possible alignments
village_Malatavadi,1337,Category B: Multiple possible alignments
village_Malatavadi,1338,Category B: Multiple possible alignments
village_Malatavadi,1339,Category B: Multiple possible alignments
village_Malatavadi,134,Category B: Multiple possible alignments
village_Malatavadi,1340,Category B: Multiple possible alignments
village_Malatavadi,1341,Category B: Multiple possible alignments
village_Malatavadi,1342,Category B: Multiple possible alignments
village_Malatavadi,1343,Category B: Multiple possible alignments
village_Malatavadi,1344,Category B: Multiple possible alignments
village_Malatavadi,1345,Category F: Neighbor regularization moved plot incorrectly
village_Malatavadi,1346,Category B: Multiple possible alignments
village_Malatavadi,1347,Category B: Multiple possible alignments
village_Malatavadi,1348,Category B: Multiple possible alignments
village_Malatavadi,1349,Category B: Multiple possible alignments
village_Malatavadi,135,Category B: Multiple possible alignments
village_Malatavadi,1350,Category B: Multiple possible alignments
village_Malatavadi,1351,Category B: Multiple possible alignments
village_Malatavadi,1352,Category B: Multiple possible alignments
village_Malatavadi,1352/1,Category B: Multiple possible alignments
village_Malatavadi,1352/10,Category B: Multiple possible alignments
village_Malatavadi,1352/11,Category B: Multiple possible alignments
village_Malatavadi,1352/12,Category B: Multiple possible alignments
village_Malatavadi,1352/13,Category B: Multiple possible alignments
village_Malatavadi,1352/14,Category B: Multiple possible alignments
village_Malatavadi,1352/15,Category B: Multiple possible alignments
village_Malatavadi,1352/16,Category B: Multiple possible alignments
village_Malatavadi,1352/17,Category B: Multiple possible alignments
village_Malatavadi,1352/18,Category B: Multiple possible alignments
village_Malatavadi,1352/19,Category B: Multiple possible alignments
village_Malatavadi,1352/2,Category B: Multiple possible alignments
village_Malatavadi,1352/20,Category B: Multiple possible alignments
village_Malatavadi,1352/21,Category B: Multiple possible alignments
village_Malatavadi,1352/22,Category B: Multiple possible alignments
village_Malatavadi,1352/23,Category B: Multiple possible alignments
village_Malatavadi,1352/24,Category B: Multiple possible alignments
village_Malatavadi,1352/25,Category E: Global shift incorrect
village_Malatavadi,1352/26,Category D: Optimizer stuck in local optimum
village_Malatavadi,1352/27,Category B: Multiple possible alignments
village_Malatavadi,1352/28,Category B: Multiple possible alignments
village_Malatavadi,1352/29,Category B: Multiple possible alignments
village_Malatavadi,1352/3,Category B: Multiple possible alignments
village_Malatavadi,1352/30,Category B: Multiple possible alignments
village_Malatavadi,1352/31,Category B: Multiple possible alignments
village_Malatavadi,1352/32,Category B: Multiple possible alignments
village_Malatavadi,1352/33,Category B: Multiple possible alignments
village_Malatavadi,1352/34,Category B: Multiple possible alignments
village_Malatavadi,1352/35,Category B: Multiple possible alignments
village_Malatavadi,1352/36,Category B: Multiple possible alignments
village_Malatavadi,1352/37,Category E: Global shift incorrect
village_Malatavadi,1352/38,Category B: Multiple possible alignments
village_Malatavadi,1352/39,Category B: Multiple possible alignments
village_Malatavadi,1352/4,Category B: Multiple possible alignments
village_Malatavadi,1352/40,Category B: Multiple possible alignments
village_Malatavadi,1352/41,Category E: Global shift incorrect
village_Malatavadi,1352/42,Category B: Multiple possible alignments
village_Malatavadi,1352/43,Category B: Multiple possible alignments
village_Malatavadi,1352/44,Category B: Multiple possible alignments
village_Malatavadi,1352/45,Category B: Multiple possible alignments
village_Malatavadi,1352/46,Category B: Multiple possible alignments
village_Malatavadi,1352/47,Category B: Multiple possible alignments
village_Malatavadi,1352/48,Category B: Multiple possible alignments
village_Malatavadi,1352/5,Category B: Multiple possible alignments
village_Malatavadi,1352/6,Category B: Multiple possible alignments
village_Malatavadi,1352/7,Category B: Multiple possible alignments
village_Malatavadi,1352/8,Category B: Multiple possible alignments
village_Malatavadi,1352/9,Category B: Multiple possible alignments
village_Malatavadi,1353,Category B: Multiple possible alignments
village_Malatavadi,1354,Category B: Multiple possible alignments
village_Malatavadi,1355,Category B: Multiple possible alignments
village_Malatavadi,1356,Category F: Neighbor regularization moved plot incorrectly
village_Malatavadi,1357,Category B: Multiple possible alignments
village_Malatavadi,1358,Category B: Multiple possible alignments
village_Malatavadi,1359,Category B: Multiple possible alignments
village_Malatavadi,136,Category B: Multiple possible alignments
village_Malatavadi,1360,Category B: Multiple possible alignments
village_Malatavadi,1361,Category B: Multiple possible alignments
village_Malatavadi,1362,Category B: Multiple possible alignments
village_Malatavadi,1363,Category B: Multiple possible alignments
village_Malatavadi,1364,Category B: Multiple possible alignments
village_Malatavadi,1365,Category B: Multiple possible alignments
village_Malatavadi,1366,Category B: Multiple possible alignments
village_Malatavadi,1367,Category B: Multiple possible alignments
village_Malatavadi,1368,Category B: Multiple possible alignments
village_Malatavadi,1369,Category B: Multiple possible alignments
village_Malatavadi,137,Category B: Multiple possible alignments
village_Malatavadi,1370,Category B: Multiple possible alignments
village_Malatavadi,1371,Category B: Multiple possible alignments
village_Malatavadi,1372,Category E: Global shift incorrect
village_Malatavadi,1373,Category B: Multiple possible alignments
village_Malatavadi,1374,Category B: Multiple possible alignments
village_Malatavadi,1375,Category B: Multiple possible alignments
village_Malatavadi,1376,Category B: Multiple possible alignments
village_Malatavadi,1377,Category B: Multiple possible alignments
village_Malatavadi,1378,Category B: Multiple possible alignments
village_Malatavadi,1379,Category B: Multiple possible alignments
village_Malatavadi,138,Category B: Multiple possible alignments
village_Malatavadi,1380,Category B: Multiple possible alignments
village_Malatavadi,1381,Category B: Multiple possible alignments
village_Malatavadi,1382,Category B: Multiple possible alignments
village_Malatavadi,1383,Category B: Multiple possible alignments
village_Malatavadi,1384/A,Category B: Multiple possible alignments
village_Malatavadi,1384/B,Category B: Multiple possible alignments
village_Malatavadi,1385,Category J: Unknown
village_Malatavadi,1386/A,Category B: Multiple possible alignments
village_Malatavadi,1386/B,Category B: Multiple possible alignments
village_Malatavadi,1387,Category B: Multiple possible alignments
village_Malatavadi,1388,Category B: Multiple possible alignments
village_Malatavadi,1389,Category B: Multiple possible alignments
village_Malatavadi,139,Category B: Multiple possible alignments
village_Malatavadi,1390,Category B: Multiple possible alignments
